symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ACN,2017-02-02 00:00:00+00:00,113.64,113.77,112.71,113.15,2450479,105.0251700134,105.1453149633,104.165671526,104.5723159717,2450479,0.0,1.0
ACN,2017-02-03 00:00:00+00:00,114.49,114.83,113.34,114.0,1664211,105.8107331471,106.1249584006,104.7479124368,105.3578791053,1664211,0.0,1.0
ACN,2017-02-06 00:00:00+00:00,114.18,115.22,113.375,114.07,2019412,105.5242336513,106.4853932502,104.7802591541,105.4225725399,2019412,0.0,1.0
ACN,2017-02-07 00:00:00+00:00,115.92,116.17,114.95,115.0,2538228,107.1323275955,107.363375576,106.2358614312,106.2820710273,2538228,0.0,1.0
ACN,2017-02-08 00:00:00+00:00,115.43,116.15,114.92,116.15,2373733,106.6794735538,107.3448917376,106.2081356736,107.3448917376,2373733,0.0,1.0
ACN,2017-02-09 00:00:00+00:00,116.98,117.46,115.47,115.51,2117069,108.1119710328,108.5555831554,106.7164412306,106.7534089075,2117069,0.0,1.0
ACN,2017-02-10 00:00:00+00:00,117.6,118.84,116.52,116.7,2183016,108.6849700245,109.8309680077,107.6868427487,107.8531972947,2183016,0.0,1.0
ACN,2017-02-13 00:00:00+00:00,118.59,118.95,117.725,117.9,1988541,109.5999200272,109.9326291191,108.8004940147,108.962227601,1988541,0.0,1.0
ACN,2017-02-14 00:00:00+00:00,120.0,120.0,118.405,118.47,2559693,110.9030306372,110.9030306372,109.4289445216,109.4890169966,2559693,0.0,1.0
ACN,2017-02-15 00:00:00+00:00,119.93,120.165,119.3,119.61,1951131,110.8383372027,111.0555223043,110.2560962918,110.5425957876,1951131,0.0,1.0
ACN,2017-02-16 00:00:00+00:00,120.72,120.99,119.53,119.93,1966972,111.568448821,111.81798064,110.4686604339,110.8383372027,1966972,0.0,1.0
ACN,2017-02-17 00:00:00+00:00,121.23,121.29,120.1,120.51,1904933,112.0397867012,112.0952382165,110.9954498294,111.3743685174,1904933,0.0,1.0
ACN,2017-02-21 00:00:00+00:00,122.1,122.22,120.57,120.63,2117134,112.8438336734,112.954736704,111.4298200327,111.485271548,2117134,0.0,1.0
ACN,2017-02-22 00:00:00+00:00,122.21,122.88,121.58,121.66,1557038,112.9454947848,113.5647033725,112.3632538739,112.4371892277,1557038,0.0,1.0
ACN,2017-02-23 00:00:00+00:00,122.48,122.705,121.73,122.59,1439556,113.1950266037,113.4029697861,112.5018826622,113.2966877151,1439556,0.0,1.0
ACN,2017-02-24 00:00:00+00:00,123.43,123.43,121.6,122.0,1447663,114.0730089296,114.0730089296,112.3817377124,112.7514144812,1447663,0.0,1.0
ACN,2017-02-27 00:00:00+00:00,122.79,123.43,122.48,123.01,1679832,113.4815260995,114.0730089296,113.1950266037,113.6848483223,1679832,0.0,1.0
ACN,2017-02-28 00:00:00+00:00,122.5,123.09,121.93,122.75,1745371,113.2135104421,113.7587836761,112.6867210466,113.4445584226,1745371,0.0,1.0
ACN,2017-03-01 00:00:00+00:00,124.07,124.29,122.46,123.24,1879707,114.6644917596,114.8678139825,113.1765427653,113.8974124644,1879707,0.0,1.0
ACN,2017-03-02 00:00:00+00:00,124.35,124.43,123.56,123.99,1896716,114.9232654978,114.9972008516,114.1931538794,114.5905564059,1896716,0.0,1.0
ACN,2017-03-03 00:00:00+00:00,123.64,124.25,122.985,124.25,2122955,114.2670892332,114.8308463056,113.6617435243,114.8308463056,2122955,0.0,1.0
ACN,2017-03-06 00:00:00+00:00,123.24,123.43,122.53,122.99,1814082,113.8974124644,114.0730089296,113.2412361998,113.6663644839,1814082,0.0,1.0
ACN,2017-03-07 00:00:00+00:00,124.14,124.38,123.12,123.63,2705235,114.7291851942,114.9509912555,113.7865094338,114.257847314,2705235,0.0,1.0
ACN,2017-03-08 00:00:00+00:00,124.46,124.79,123.78,124.11,2168611,115.0249266092,115.3299099435,114.3964761023,114.7014594365,2168611,0.0,1.0
ACN,2017-03-09 00:00:00+00:00,123.18,124.37,122.65,124.37,2338125,113.8419609491,114.9417493362,113.3521392304,114.9417493362,2338125,0.0,1.0
ACN,2017-03-10 00:00:00+00:00,123.93,124.33,123.07,123.65,1931099,114.5351048906,114.9047816594,113.7402998377,114.2763311524,1931099,0.0,1.0
ACN,2017-03-13 00:00:00+00:00,124.04,124.75,123.47,124.23,2233737,114.636766002,115.2929422666,114.1099766065,114.8123624672,2233737,0.0,1.0
ACN,2017-03-14 00:00:00+00:00,123.91,124.73,123.63,124.17,1627855,114.5166210521,115.2744584281,114.257847314,114.7569109518,1627855,0.0,1.0
ACN,2017-03-15 00:00:00+00:00,124.8,124.99,123.03,123.41,2087675,115.3391518627,115.5147483279,113.7033321608,114.0545250911,2087675,0.0,1.0
ACN,2017-03-16 00:00:00+00:00,124.1,125.19,123.61,124.89,2182041,114.6922175173,115.6995867123,114.2393634755,115.4223291357,2182041,0.0,1.0
ACN,2017-03-17 00:00:00+00:00,125.22,125.45,123.83,124.71,4603637,115.7273124699,115.939876612,114.4426856984,115.2559745897,4603637,0.0,1.0
ACN,2017-03-20 00:00:00+00:00,124.39,125.39,124.17,125.22,2257442,114.9602331747,115.8844250967,114.7569109518,115.7273124699,2257442,0.0,1.0
ACN,2017-03-21 00:00:00+00:00,124.64,125.41,123.63,125.08,3219859,115.1912811552,115.9029089351,114.257847314,115.5979256008,3219859,0.0,1.0
ACN,2017-03-22 00:00:00+00:00,126.48,126.53,124.47,125.03,4288622,116.8917942916,116.9380038877,115.0341685284,115.5517160047,4288622,0.0,1.0
ACN,2017-03-23 00:00:00+00:00,120.76,123.01,120.54,122.71,7116837,111.6054164979,113.6848483223,111.4020942751,113.4075907458,7116837,0.0,1.0
ACN,2017-03-24 00:00:00+00:00,118.98,121.31,118.755,120.78,3949828,109.9603548768,112.113722055,109.7524116943,111.6239003363,3949828,0.0,1.0
ACN,2017-03-27 00:00:00+00:00,119.39,119.8,118.3,118.73,3122818,110.3392735648,110.7181922528,109.3319043698,109.7293068963,3122818,0.0,1.0
ACN,2017-03-28 00:00:00+00:00,121.35,122.34,119.014,119.82,5516010,112.1506897319,113.0656397346,109.9917774021,110.7366760912,5516010,0.0,1.0
ACN,2017-03-29 00:00:00+00:00,120.98,121.71,120.15,121.66,2438878,111.8087387207,112.4833988238,111.0416594255,112.4371892277,2438878,0.0,1.0
ACN,2017-03-30 00:00:00+00:00,120.52,121.0,120.05,120.89,2030644,111.3836104366,111.8272225592,110.9492402333,111.7255614478,2030644,0.0,1.0
ACN,2017-03-31 00:00:00+00:00,119.88,121.21,119.84,120.71,2102781,110.7921276066,112.0213028628,110.7551599297,111.5592069018,2102781,0.0,1.0
ACN,2017-04-03 00:00:00+00:00,117.64,118.17,117.0,118.0,3918099,108.7219377013,109.21175942,108.1304548713,109.0546467932,3918099,0.0,1.0
ACN,2017-04-04 00:00:00+00:00,118.04,118.07,117.28,117.28,1690684,109.0916144701,109.1193402278,108.3892286094,108.3892286094,1690684,0.0,1.0
ACN,2017-04-05 00:00:00+00:00,117.64,119.09,117.49,118.24,1902105,108.7219377013,110.0620159882,108.583308913,109.2764528545,1902105,0.0,1.0
ACN,2017-04-06 00:00:00+00:00,116.81,117.93,116.76,117.68,2049602,107.9548584061,108.9899533587,107.90864881,108.7589053782,2049602,0.0,1.0
ACN,2017-04-07 00:00:00+00:00,117.44,117.74,116.5,117.0,2408028,108.5370993169,108.8143568935,107.6683589103,108.1304548713,2408028,0.0,1.0
ACN,2017-04-10 00:00:00+00:00,117.84,118.56,117.37,117.5,2308255,108.9067760857,109.5721942696,108.4724058824,108.5925508323,2308255,0.0,1.0
ACN,2017-04-11 00:00:00+00:00,116.08,116.8,115.79,116.18,2295270,108.3984705286,109.0708249289,108.1276611174,108.4918530842,2295270,1.21,1.0
ACN,2017-04-12 00:00:00+00:00,115.58,116.4,115.47,116.05,2087832,107.9315577507,108.6972947065,107.8288369395,108.370455762,2087832,0.0,1.0
ACN,2017-04-13 00:00:00+00:00,114.86,115.89,114.82,115.36,1838948,107.2592033504,108.221043673,107.2218503282,107.7261161284,1838948,0.0,1.0
ACN,2017-04-17 00:00:00+00:00,115.72,115.73,114.88,114.88,1168262,108.0622933285,108.0716315841,107.2778798616,107.2778798616,1168262,0.0,1.0
ACN,2017-04-18 00:00:00+00:00,116.24,116.36,115.39,115.5,1978691,108.5478826176,108.6599416843,107.7541308951,107.8568517062,1978691,0.0,1.0
ACN,2017-04-19 00:00:00+00:00,116.95,117.36,116.0,116.37,2185363,109.2108987623,109.5937672402,108.3237644842,108.6692799399,2185363,0.0,1.0
ACN,2017-04-20 00:00:00+00:00,119.21,119.86,117.38,117.65,3743523,111.3213445186,111.9283311299,109.6124437513,109.8645766514,3743523,0.0,1.0
ACN,2017-04-21 00:00:00+00:00,119.23,119.98,119.03,119.74,2639048,111.3400210297,112.0403901966,111.1532559185,111.8162720632,2639048,0.0,1.0
ACN,2017-04-24 00:00:00+00:00,119.36,120.51,119.11,119.94,2106761,111.461418352,112.5353177413,111.227961963,112.0030371744,2106761,0.0,1.0
